expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set1IT005	D-Galactose	HSERO_RS04225	HSERO_RS04225		permease	-2.22373952736822	-5.33226743512856	FALSE
carbon source	set1IT033	D-Galactose	HSERO_RS05155	HSERO_RS05155		2-dehydro-3-deoxy-6-phosphogalactonate aldolase	-6.06961561038831	-5.15865515878322	TRUE
carbon source	set1IT005	D-Galactose	HSERO_RS05155	HSERO_RS05155		2-dehydro-3-deoxy-6-phosphogalactonate aldolase	-4.54552723324389	-5.33240811780049	TRUE
carbon source	set1IT033	D-Galactose	HSERO_RS05160	HSERO_RS05160		2-dehydro-3-deoxygalactonokinase	-2.84766876712778	-5.168502979351	TRUE
carbon source	set1IT005	D-Galactose	HSERO_RS05160	HSERO_RS05160		2-dehydro-3-deoxygalactonokinase	-2.72306816587969	-6.82148871335288	TRUE
carbon source	set1IT005	D-Galactose	HSERO_RS22820	HSERO_RS22820		ArsR family transcriptional regulator	2.26232165568542	8.12609446496135	FALSE
carbon source	set2IT052	D-Galacturonic Acid monohydrate	HSERO_RS15785	HSERO_RS15785		5-dehydro-4-deoxyglucarate dehydratase	-5.81434610698764	-9.86085105130588	TRUE
carbon source	set1IT020	D-Galacturonic Acid monohydrate	HSERO_RS15785	HSERO_RS15785		5-dehydro-4-deoxyglucarate dehydratase	-4.2523995953918	-10.394575133885	TRUE
carbon source	set2IT052	D-Galacturonic Acid monohydrate	HSERO_RS15795	HSERO_RS15795		6-phosphogluconolactonase	-4.10832785059778	-6.6234321820664	FALSE
carbon source	set1IT020	D-Galacturonic Acid monohydrate	HSERO_RS15795	HSERO_RS15795		6-phosphogluconolactonase	-2.95365373101166	-6.47829803320313	FALSE
carbon source	set1IT020	D-Galacturonic Acid monohydrate	HSERO_RS15800	HSERO_RS15800		D-galactarate dehydratase	-4.39727258215365	-11.8889970146876	TRUE
carbon source	set2IT052	D-Galacturonic Acid monohydrate	HSERO_RS15800	HSERO_RS15800		D-galactarate dehydratase	-3.96609670127187	-10.8203851991165	TRUE
carbon source	set2IT052	D-Galacturonic Acid monohydrate	HSERO_RS15805	HSERO_RS15805		glucarate transporter	-5.40959028846095	-8.63621220477832	TRUE
carbon source	set1IT020	D-Galacturonic Acid monohydrate	HSERO_RS15805	HSERO_RS15805		glucarate transporter	-3.94711910398962	-8.11865572993692	TRUE
carbon source	set1IT020	D-Galacturonic Acid monohydrate	HSERO_RS17255	HSERO_RS17255		transporter	1.17481219239873	5.52320831025342	FALSE
carbon source	set1IT020	D-Galacturonic Acid monohydrate	HSERO_RS17265	HSERO_RS17265		glucosyltransferase MdoH	1.32014204316055	6.31531723104258	FALSE
carbon source	set2IT052	D-Galacturonic Acid monohydrate	HSERO_RS23010	HSERO_RS23010		hexuronate transporter	-3.88421426746872	-12.5652804264421	TRUE
carbon source	set1IT020	D-Galacturonic Acid monohydrate	HSERO_RS23010	HSERO_RS23010		hexuronate transporter	-3.82147033436332	-12.571429647611	TRUE
carbon source	set2IT052	D-Galacturonic Acid monohydrate	HSERO_RS23040	HSERO_RS23040		NAD-dependent dehydratase	-3.134793459318	-5.59657317643637	TRUE
carbon source	set1IT011	D-Glucose-6-Phosphate sodium salt	HSERO_RS17870	HSERO_RS17870		glucokinase	1.21853308776626	6.10466252159208	TRUE
carbon source	set1IT011	D-Glucose-6-Phosphate sodium salt	HSERO_RS22795	HSERO_RS22795		N-acetyltransferase	-1.42320881778906	-6.48291002898408	FALSE
carbon source	set2IT060	D-Mannose	HSERO_RS03630	HSERO_RS03630		fructose transporter	-4.66171966965947	-7.01925527999514	FALSE
carbon source	set1IT028	D-Mannose	HSERO_RS03630	HSERO_RS03630		fructose transporter	-3.94857349466588	-7.6724711516372	FALSE
carbon source	set2IT060	D-Mannose	HSERO_RS03640	HSERO_RS03640		D-ribose transporter ATP-binding protein	-4.72983869623802	-10.8687700295333	FALSE
carbon source	set1IT028	D-Mannose	HSERO_RS03640	HSERO_RS03640		D-ribose transporter ATP-binding protein	-3.59397763741091	-10.2966647207079	FALSE
carbon source	set2IT060	D-Mannose	HSERO_RS03645	HSERO_RS03645		ribose ABC transporter permease	-3.38056263586227	-5.8896023243305	FALSE
carbon source	set1IT028	D-Mannose	HSERO_RS03645	HSERO_RS03645		ribose ABC transporter permease	-2.27990718138968	-5.46865353469595	FALSE
carbon source	set2IT060	D-Mannose	HSERO_RS03650	HSERO_RS03650		N-acyl-D-glucosamine 2-epimerase	-4.79908733863486	-7.56291969846043	TRUE
carbon source	set1IT028	D-Mannose	HSERO_RS03650	HSERO_RS03650		N-acyl-D-glucosamine 2-epimerase	-4.25400079302887	-10.6958622321124	TRUE
carbon source	set2IT060	D-Mannose	HSERO_RS20790	HSERO_RS20790		cytochrome B559 subunit alpha	-1.49469319903798	-5.22408683889286	FALSE
carbon source	set1IT028	D-Mannose	HSERO_RS21415	HSERO_RS21415		lytic transglycosylase	-1.99642160354001	-5.89334179343614	FALSE
carbon source	set2IT060	D-Mannose	HSERO_RS22480	HSERO_RS22480		dihydroxy-acid dehydratase	-3.51830741920224	-8.84403753339973	FALSE
carbon source	set1IT028	D-Mannose	HSERO_RS22480	HSERO_RS22480		dihydroxy-acid dehydratase	-3.02463022347033	-9.16578926423752	FALSE
carbon source	set1IT035	D-Ribose	HSERO_RS05330	HSERO_RS05330		glucose dehydrogenase	2.04249135800233	5.09611638442037	FALSE
carbon source	set1IT007	D-Ribose	HSERO_RS07710	HSERO_RS07710		hypothetical protein	3.19064368095881	6.91796081989559	FALSE
carbon source	set1IT035	D-Ribose	HSERO_RS08610	HSERO_RS08610		anhydrase	-2.8279286443178	-5.22037998367785	FALSE
carbon source	set1IT035	D-Ribose	HSERO_RS11480	HSERO_RS11480		LacI family transcriptional regulator	-4.92694262568066	-5.32230475021889	TRUE
carbon source	set1IT035	D-Ribose	HSERO_RS11485	HSERO_RS11485		ribose ABC transporter ATPase	-3.25763970459566	-7.6789285838857	TRUE
carbon source	set1IT007	D-Ribose	HSERO_RS11485	HSERO_RS11485		ribose ABC transporter ATPase	-3.11746608680989	-7.18712124486084	TRUE
carbon source	set1IT035	D-Ribose	HSERO_RS11490	HSERO_RS11490		ABC transporter permease	-5.04549860000345	-9.10826979171154	TRUE
carbon source	set1IT007	D-Ribose	HSERO_RS11490	HSERO_RS11490		ABC transporter permease	-3.1957837697146	-6.47621330533647	TRUE
carbon source	set1IT035	D-Ribose	HSERO_RS11500	HSERO_RS11500		ribokinase	-6.00272709216451	-5.60953861640309	TRUE
carbon source	set1IT007	D-Ribose	HSERO_RS11500	HSERO_RS11500		ribokinase	-5.20135479548873	-5.52151883561587	TRUE
carbon source	set1IT035	D-Ribose	HSERO_RS12295	HSERO_RS12295		histidine kinase	-1.48027514580467	-5.047416350313	FALSE
carbon source	set1IT035	D-Ribose	HSERO_RS17135	HSERO_RS17135		peptide ABC transporter permease	-1.25769523013374	-5.15362907877289	FALSE
carbon source	set1IT035	D-Ribose	HSERO_RS17145	HSERO_RS17145		peptide ABC transporter substrate-binding protein	-1.41486647128074	-5.07680467395596	FALSE
carbon source	set1IT007	D-Ribose	HSERO_RS19355	HSERO_RS19355		galactarate dehydratase	2.23766813753085	5.94579945153738	FALSE
carbon source	set1IT035	D-Ribose	HSERO_RS19355	HSERO_RS19355		galactarate dehydratase	2.46831982954612	5.87465791689487	FALSE
carbon source	set1IT007	D-Ribose	HSERO_RS22795	HSERO_RS22795		N-acetyltransferase	-1.90375156273909	-6.55216920762354	FALSE
carbon source	set1IT022	D-Sorbitol	HSERO_RS02190	HSERO_RS02190		sugar ABC transporter substrate-binding protein	-3.71179296061484	-12.6467046687653	TRUE
carbon source	set1IT022	D-Sorbitol	HSERO_RS02195	HSERO_RS02195		sugar ABC transporter permease	-3.23525693280771	-5.37374773315129	TRUE
carbon source	set1IT022	D-Sorbitol	HSERO_RS02200	HSERO_RS02200		mannitol ABC transporter permease	-2.85345506860825	-9.66191275500352	TRUE
carbon source	set1IT022	D-Sorbitol	HSERO_RS02210	HSERO_RS02210		sugar ABC transporter ATP-binding protein	-3.34377458646139	-6.46363253293619	TRUE
carbon source	set1IT022	D-Sorbitol	HSERO_RS02220	HSERO_RS02220		xylulokinase	-4.04548203762208	-8.09751101369073	FALSE
carbon source	set1IT022	D-Sorbitol	HSERO_RS17000	HSERO_RS17000		sugar ABC transporter substrate-binding protein	-2.32632083958758	-7.73874354357561	FALSE
carbon source	set1IT022	D-Sorbitol	HSERO_RS17005	HSERO_RS17005		sugar ABC transporter permease	-3.8257590556921	-6.78675447482397	FALSE
carbon source	set1IT022	D-Sorbitol	HSERO_RS17015	HSERO_RS17015		sulfurtransferase	-2.4715551412128	-7.62443813334899	FALSE
carbon source	set1IT022	D-Sorbitol	HSERO_RS17020	HSERO_RS17020		sugar ABC transporter ATP-binding protein	-2.70878348922316	-7.16487412900095	FALSE
carbon source	set1IT022	D-Sorbitol	HSERO_RS17025	HSERO_RS17025		AraC family transcriptional regulator	-4.59925401254853	-9.42500961463071	TRUE
carbon source	set1IT022	D-Sorbitol	HSERO_RS17030	HSERO_RS17030		xylulokinase	3.47905162493693	16.5257020620586	FALSE
carbon source	set1IT032	D-Xylose	HSERO_RS19325	HSERO_RS19325		LysR family transcriptional regulator	-4.85052798849722	-8.24103067115254	FALSE
carbon source	set1IT032	D-Xylose	HSERO_RS19330	HSERO_RS19330		FAH family protein	-3.08571016803991	-5.12793345858677	FALSE
carbon source	set1IT032	D-Xylose	HSERO_RS19360	HSERO_RS19360		fumarylacetoacetate hydrolase	-4.07841108280642	-8.2833725386955	TRUE
carbon source	set1IT021	Glycerol	HSERO_RS04870	HSERO_RS04870		ABC transporter substrate-binding protein	-2.25323643190668	-6.35490781981477	TRUE
carbon source	set2IT053	Glycerol	HSERO_RS04875	HSERO_RS04875		glycerol kinase	-3.64238751184185	-7.55320178501304	TRUE
carbon source	set1IT021	Glycerol	HSERO_RS04875	HSERO_RS04875		glycerol kinase	-3.11641685230825	-5.10275394280189	TRUE
carbon source	set2IT053	Glycerol	HSERO_RS19100	HSERO_RS19100		FAD-binding protein	-1.55472657008956	-7.53781508617315	FALSE
carbon source	set1IT031	L-Arabinose	HSERO_RS00725	HSERO_RS00725		LysR family transcriptional regulator	-2.46472135538184	-5.74979666680716	FALSE
carbon source	set1IT031	L-Arabinose	HSERO_RS05205	HSERO_RS05205		dihydroxy-acid dehydratase	-3.10032072255897	-7.20977188390231	TRUE
carbon source	set1IT003	L-Arabinose	HSERO_RS05205	HSERO_RS05205		dihydroxy-acid dehydratase	-2.59486483530271	-5.55213586592262	TRUE
carbon source	set1IT031	L-Arabinose	HSERO_RS05210	HSERO_RS05210		3-oxoacyl-ACP reductase	-4.10208625247955	-5.34704901894925	TRUE
carbon source	set1IT031	L-Arabinose	HSERO_RS05225	HSERO_RS05225		gluconolaconase	-3.72134967410122	-5.6939637919121	TRUE
carbon source	set1IT031	L-Arabinose	HSERO_RS06870	HSERO_RS06870		cytochrome C biogenesis protein CcdA	-3.91009747254398	-7.06166985278883	TRUE
carbon source	set1IT003	L-Arabinose	HSERO_RS06870	HSERO_RS06870		cytochrome C biogenesis protein CcdA	-3.38916052608528	-5.28294745270991	TRUE
carbon source	set1IT031	L-Arabinose	HSERO_RS06875	HSERO_RS06875		LysR family transcriptional regulator	-4.04692293668565	-8.61953593423655	TRUE
carbon source	set1IT003	L-Arabinose	HSERO_RS06875	HSERO_RS06875		LysR family transcriptional regulator	-2.77572892237909	-7.33106655520066	TRUE
carbon source	set1IT024	L-Asparagine	HSERO_RS05895	HSERO_RS05895		Patatin	1.29950090616211	7.69884288705721	FALSE
carbon source	set2IT056	L-Asparagine	HSERO_RS19240	HSERO_RS19240		arginine ABC transporter ATP-binding protein	-1.45745128461611	-7.47836962761783	FALSE
carbon source	set1IT008	L-Fucose	HSERO_RS05235	HSERO_RS05235		fuconate dehydratase	-2.59029557870147	-5.70720038977147	TRUE
carbon source	set1IT036	L-Fucose	HSERO_RS05235	HSERO_RS05235		fuconate dehydratase	-2.19643847411751	-5.06799605672994	TRUE
carbon source	set1IT008	L-Fucose	HSERO_RS05250	HSERO_RS05250		D-ribose transporter ATP binding protein	-2.17506801523936	-6.09271794472571	FALSE
carbon source	set1IT036	L-Fucose	HSERO_RS05250	HSERO_RS05250		D-ribose transporter ATP binding protein	-2.09734989723533	-7.23256745093301	FALSE
carbon source	set1IT008	L-Fucose	HSERO_RS05255	HSERO_RS05255		ribose ABC transporter permease	-1.84574349508526	-5.90643064075874	FALSE
carbon source	set1IT036	L-Fucose	HSERO_RS05260	HSERO_RS05260		LacI family transcriptional regulator	-1.90481001675623	-7.1905266959526	FALSE
carbon source	set1IT008	L-Fucose	HSERO_RS05260	HSERO_RS05260		LacI family transcriptional regulator	-1.68519399372366	-7.13454137397078	FALSE
carbon source	set1IT008	L-Fucose	HSERO_RS10840	HSERO_RS10840		cyanophycin synthetase	1.43718696987873	5.31238126930183	FALSE
carbon source	set1IT036	L-Fucose	HSERO_RS10840	HSERO_RS10840		cyanophycin synthetase	1.48956377644536	5.3747007663838	FALSE
carbon source	set1IT036	L-Fucose	HSERO_RS19325	HSERO_RS19325		LysR family transcriptional regulator	-2.12064353495573	-5.94446610650243	FALSE
carbon source	set1IT008	L-Fucose	HSERO_RS19325	HSERO_RS19325		LysR family transcriptional regulator	-1.9363449141249	-6.83232357036052	FALSE
carbon source	set1IT008	L-Fucose	HSERO_RS22795	HSERO_RS22795		N-acetyltransferase	-1.61915763657704	-5.27307620420834	FALSE
carbon source	set2IT057	L-Glutamine	HSERO_RS11610	HSERO_RS11610		NADH dehydrogenase	-1.5394834028848	-5.30339866355634	FALSE
carbon source	set2IT055	L-Malic acid disodium salt monohydrate	HSERO_RS03275	HSERO_RS03275		regulatory protein RecX	-1.52808241997727	-6.73715712231147	FALSE
carbon source	set2IT055	L-Malic acid disodium salt monohydrate	HSERO_RS05850	HSERO_RS05850		exodeoxyribonuclease VII large subunit	-1.47885315631865	-6.92872252298947	FALSE
carbon source	set1IT023	L-Malic acid disodium salt monohydrate	HSERO_RS05920	HSERO_RS05920		endonuclease	-2.67919300782326	-5.0989520483267	FALSE
carbon source	set2IT058	L-Proline	HSERO_RS00865	HSERO_RS00865		AsnC family transcriptional regulator	-5.81839625519352	-7.96325070105837	TRUE
carbon source	set1IT026	L-Proline	HSERO_RS00865	HSERO_RS00865		AsnC family transcriptional regulator	-3.87064021480958	-7.86884333040282	TRUE
carbon source	set1IT026	L-Proline	HSERO_RS00870	HSERO_RS00870		ABC transporter substrate-binding protein	-6.23714195474706	-11.1681388909635	FALSE
carbon source	set2IT058	L-Proline	HSERO_RS00870	HSERO_RS00870		ABC transporter substrate-binding protein	-6.12104729431665	-10.1946867429113	FALSE
carbon source	set2IT058	L-Proline	HSERO_RS00875	HSERO_RS00875		hypothetical protein	-3.12436996158708	-5.36367414974914	FALSE
carbon source	set1IT026	L-Proline	HSERO_RS00880	HSERO_RS00880		ornithine cyclodeaminase	-1.78229748983526	-5.39178785044234	FALSE
carbon source	set2IT058	L-Proline	HSERO_RS00905	HSERO_RS00905		bifunctional proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase	-5.40231172402619	-15.676697456221	TRUE
carbon source	set1IT026	L-Proline	HSERO_RS00905	HSERO_RS00905		bifunctional proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase	-4.20828464467126	-13.5498396254509	TRUE
carbon source	set1IT026	L-Proline	HSERO_RS01975	HSERO_RS01975		4-hydroxybenzoate synthetase	-1.49403478777343	-5.39421192473405	FALSE
carbon source	set1IT006	L-Rhamnose monohydrate	HSERO_RS22200	HSERO_RS22200		L-fuculose kinase	-3.01619455180757	-7.61833297227634	TRUE
carbon source	set1IT034	L-Rhamnose monohydrate	HSERO_RS22200	HSERO_RS22200		L-fuculose kinase	-2.95297712491281	-6.76522454433395	TRUE
carbon source	set1IT006	L-Rhamnose monohydrate	HSERO_RS22210	HSERO_RS22210		branched-chain amino acid ABC transporter permease	-4.06448940993568	-6.03479876546117	TRUE
carbon source	set1IT034	L-Rhamnose monohydrate	HSERO_RS22210	HSERO_RS22210		branched-chain amino acid ABC transporter permease	-3.5333998378816	-9.02018455411406	TRUE
carbon source	set1IT034	L-Rhamnose monohydrate	HSERO_RS22220	HSERO_RS22220		D-ribose transporter ATP-binding protein	-3.53339686299795	-7.49967024171765	TRUE
carbon source	set1IT006	L-Rhamnose monohydrate	HSERO_RS22220	HSERO_RS22220		D-ribose transporter ATP-binding protein	-2.96046408941877	-9.16307508741516	TRUE
carbon source	set1IT006	L-Rhamnose monohydrate	HSERO_RS22230	HSERO_RS22230		DeoR faimly transcriptional regulator	-3.82643606445506	-5.77684023775344	TRUE
carbon source	set1IT006	L-Rhamnose monohydrate	HSERO_RS22240	HSERO_RS22240		sugar isomerase	-3.50242465292135	-8.64507202658926	TRUE
carbon source	set1IT034	L-Rhamnose monohydrate	HSERO_RS22240	HSERO_RS22240		sugar isomerase	-3.37813611445355	-8.42009131915739	TRUE
carbon source	set1IT006	L-Rhamnose monohydrate	HSERO_RS22795	HSERO_RS22795		N-acetyltransferase	-1.71265260892408	-6.17852326407475	FALSE
carbon source	set6IT094	Phenylacetic acid	HSERO_RS06705	HSERO_RS06705		MFS transporter	-1.48391073329128	-7.24272790473512	FALSE
carbon source	set6IT087	Phenylacetic acid	HSERO_RS08100	HSERO_RS08100		nicotinate phosphoribosyltransferase	-1.70641033663748	-7.33091454654149	FALSE
carbon source	set6IT094	Phenylacetic acid	HSERO_RS08100	HSERO_RS08100		nicotinate phosphoribosyltransferase	-1.49040088724046	-5.66732039297444	FALSE
carbon source	set6IT094	Phenylacetic acid	HSERO_RS08185	HSERO_RS08185		sulfate transporter subunit	-1.05310047983007	-6.07255030344361	FALSE
carbon source	set6IT094	Phenylacetic acid	HSERO_RS08575	HSERO_RS08575		glyoxalase	-1.05429484472391	-5.64803041438727	FALSE
carbon source	set6IT094	Phenylacetic acid	HSERO_RS10515	HSERO_RS10515		membrane protein	3.93856037688897	23.2281472291628	FALSE
carbon source	set6IT087	Phenylacetic acid	HSERO_RS10515	HSERO_RS10515		membrane protein	4.11694903579727	24.3899294612209	FALSE
carbon source	set6IT094	Phenylacetic acid	HSERO_RS10520	HSERO_RS10520		hypothetical protein	3.98776752084154	17.7304816752857	FALSE
carbon source	set6IT087	Phenylacetic acid	HSERO_RS10520	HSERO_RS10520		hypothetical protein	4.18752217177083	25.9064000885973	FALSE
carbon source	set6IT094	Phenylacetic acid	HSERO_RS10525	HSERO_RS10525		fusaric acid resistance protein	3.99149990119664	29.8795225416221	FALSE
carbon source	set6IT087	Phenylacetic acid	HSERO_RS10525	HSERO_RS10525		fusaric acid resistance protein	4.00832236777529	30.5517075288125	FALSE
carbon source	set6IT087	Phenylacetic acid	HSERO_RS10530	HSERO_RS10530		RND transporter	4.13104075507256	26.4260930037524	FALSE
carbon source	set6IT094	Phenylacetic acid	HSERO_RS10530	HSERO_RS10530		RND transporter	4.15757007245189	26.5508113354717	FALSE
carbon source	set6IT087	Phenylacetic acid	HSERO_RS10535	HSERO_RS10535		LysR family transcriptional regulator	-4.5222310647724	-14.3806268919757	FALSE
carbon source	set6IT094	Phenylacetic acid	HSERO_RS10535	HSERO_RS10535		LysR family transcriptional regulator	-4.1883395645528	-14.6737430345804	FALSE
carbon source	set6IT094	Phenylacetic acid	HSERO_RS11305	HSERO_RS11305		membrane protein	-1.56729182553901	-6.45073866667073	FALSE
carbon source	set6IT087	Phenylacetic acid	HSERO_RS11305	HSERO_RS11305		membrane protein	-1.5652678835872	-6.3671252860351	FALSE
carbon source	set6IT087	Phenylacetic acid	HSERO_RS15990	HSERO_RS15990		MarR family transcriptional regulator	-1.70276981550779	-9.82990769254989	FALSE
carbon source	set6IT087	Phenylacetic acid	HSERO_RS16340	HSERO_RS16340		transcriptional regulator	-1.66098581876041	-6.90524290177836	FALSE
carbon source	set6IT094	Phenylacetic acid	HSERO_RS20590	HSERO_RS20590		enoyl-CoA hydratase	-4.22894638715576	-12.6502867311865	TRUE
carbon source	set6IT087	Phenylacetic acid	HSERO_RS20590	HSERO_RS20590		enoyl-CoA hydratase	-4.12306548385876	-13.3143442447267	TRUE
carbon source	set6IT094	Phenylacetic acid	HSERO_RS20595	HSERO_RS20595		branched-chain amino acid ABC transporter substrate-binding protein	-1.80667131529506	-6.30146689665627	FALSE
